period,source,metric,value,value_wda,meta
2026-06,motie,kr_exports_total_usd,102250000000,,yoy=+70.9%|record_first_100b
2026-06,motie,kr_exports_semis_usd,44820000000,,yoy=+199.5%|record
2026-06,motie,kr_exports_hbm_usd,12681000000,,yoy=+171%
2026-06-P20,kcs,kr_exports_total_usd,61990000000,49.7,headline_yoy=+60.4%|working_days=15v14|value_wda=per_wd_adj_yoy_pct
2026-06,derived,kr_inc_p21_end_usd,40260000000.0,,compare_same_window_only|per_wd_flash=4.133bn
2026-04,census,us_imports_memory_value:5330,7784,,INDIA
2026-04,census,us_imports_memory_value:5420,3294,,SRI LANKA
2026-04,census,us_imports_memory_value:5490,3653491,,THAILAND
2026-04,census,us_imports_memory_value:5520,33341454,,VIETNAM
2026-04,census,us_imports_memory_value:5570,9645511,,MALAYSIA
2026-04,census,us_imports_memory_value:5590,8436785,,SINGAPORE
2026-04,census,us_imports_memory_value:5600,25203,,INDONESIA
2026-04,census,us_imports_memory_value:5650,6046601,,PHILIPPINES
2026-04,census,us_imports_memory_value:5700,14308081,,CHINA
2026-04,census,us_imports_memory_value:5800,303912692,,"KOREA, SOUTH"
2026-04,census,us_imports_memory_value:5820,575066,,HONG KONG
2026-04,census,us_imports_memory_value:5830,177976852,,TAIWAN
2026-04,census,us_imports_memory_value:5880,58891036,,JAPAN
2026-04,census,us_imports_memory_value:6021,9427,,AUSTRALIA
2026-04,census,us_imports_memory_value:6141,0,,NEW ZEALAND
2026-04,census,us_imports_memory_value:3370,18137,,CHILE
2026-04,census,us_imports_memory_value:3570,2465,,ARGENTINA
2026-04,census,us_imports_memory_value:4010,72389,,SWEDEN
2026-04,census,us_imports_memory_value:4050,3912,,FINLAND
2026-04,census,us_imports_memory_value:4099,142792,,DENMARK
2026-04,census,us_imports_memory_value:4120,103129,,UNITED KINGDOM
2026-04,census,us_imports_memory_value:4210,512900,,NETHERLANDS
2026-04,census,us_imports_memory_value:4231,0,,BELGIUM
2026-04,census,us_imports_memory_value:4279,3335481,,FRANCE
2026-04,census,us_imports_memory_value:4280,1085201,,GERMANY
2026-04,census,us_imports_memory_value:4330,64450,,AUSTRIA
2026-04,census,us_imports_memory_value:4351,12204,,CZECH REPUBLIC
2026-04,census,us_imports_memory_value:7140,0,,MOROCCO
2026-04,census,us_imports_memory_value:7510,0,,NIGER
2026-04,census,us_imports_memory_value:7690,0,,RWANDA
2026-04,census,us_imports_memory_value:4370,0,,HUNGARY
2026-04,census,us_imports_memory_value:4419,120383,,SWITZERLAND
2026-04,census,us_imports_memory_value:4490,0,,LATVIA
2026-04,census,us_imports_memory_value:4550,0,,POLAND
2026-04,census,us_imports_memory_value:4700,0,,SPAIN
2026-04,census,us_imports_memory_value:4710,0,,PORTUGAL
2026-04,census,us_imports_memory_value:4759,33723,,ITALY
2026-04,census,us_imports_memory_value:4850,9041,,ROMANIA
2026-04,census,us_imports_memory_value:4870,0,,BULGARIA
2026-04,census,us_imports_memory_value:4890,7035,,TURKEY
2026-04,census,us_imports_memory_value:5081,11250,,ISRAEL
2026-04,census,us_imports_memory_value:-,622497725,,TOTAL FOR ALL COUNTRIES
2026-04,census,us_imports_memory_value:0003,5272093,,EUROPEAN UNION
2026-04,census,us_imports_memory_value:1XXX,129956,,NORTH AMERICA
2026-04,census,us_imports_memory_value:4XXX,5502640,,EUROPE
2026-04,census,us_imports_memory_value:7XXX,0,,AFRICA
2026-04,census,us_imports_memory_value:0014,579827254,,PACIFIC RIM COUNTRIES
2026-04,census,us_imports_memory_value:5XXX,616835100,,ASIA
2026-04,census,us_imports_memory_value:0017,0,,CAFTA-DR
